Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Julio Pablo Martinez (22904328),Julio Pablo Martinez,22904328,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
OF,Aaron Zavala (22904334),Aaron Zavala,22904334,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
OF,Elier Hernandez (22904373),Elier Hernandez,22904373,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
OF,Joe McCarthy (22904412),Joe McCarthy,22904412,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
OF,Kameron Misner (22904431),Kameron Misner,22904431,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TB,0
OF,Yeison Morrobel (22904475),Yeison Morrobel,22904475,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
OF,Steele Walker (22904478),Steele Walker,22904478,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
OF,Bubba Thompson (22904525),Bubba Thompson,22904525,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
OF,Juan Lagares (22904206),Juan Lagares,22904206,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,2.6
OF,Everson Pereira (22904213),Everson Pereira,22904213,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
OF,Jose Rojas (22904228),Jose Rojas,22904228,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,2.43
OF,Aaron Whitefield (22904251),Aaron Whitefield,22904251,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
OF,Ryder Green (22904305),Ryder Green,22904305,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
OF,Jeisson Rosario (22904343),Jeisson Rosario,22904343,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
OF,Michael Beltre (22904389),Michael Beltre,22904389,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
OF,Blake Perkins (22904395),Blake Perkins,22904395,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,NYY,0
OF,Jordyn Adams (22904425),Jordyn Adams,22904425,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
OF,Dillon Thomas (22904561),Dillon Thomas,22904561,OF,2000,LAA@NYY 06/01/2022 07:05PM ET,LAA,0
OF,Mark Contreras (22904217),Mark Contreras,22904217,OF,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,2
OF,Akil Baddoo (22904221),Akil Baddoo,22904221,OF,2000,MIN@DET 06/01/2022 07:10PM ET,DET,3.47
OF,Trayce Thompson (22904231),Trayce Thompson,22904231,OF,2000,MIN@DET 06/01/2022 07:10PM ET,DET,2.17
OF,Gilberto Celestino (22904239),Gilberto Celestino,22904239,OF,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,4.2
OF,Nick Gordon (22904246),Nick Gordon,22904246,OF,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,3.77
OF,Daz Cameron (22904247),Daz Cameron,22904247,OF,2000,MIN@DET 06/01/2022 07:10PM ET,DET,4.42
OF,Daniel Cabrera (22904355),Daniel Cabrera,22904355,OF,2000,MIN@DET 06/01/2022 07:10PM ET,DET,0
OF,Riley Greene (22904360),Riley Greene,22904360,OF,2000,MIN@DET 06/01/2022 07:10PM ET,DET,0
OF,Parker Meadows (22904387),Parker Meadows,22904387,OF,2000,MIN@DET 06/01/2022 07:10PM ET,DET,0
OF,Derek Fisher (22904396),Derek Fisher,22904396,OF,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
OF,Emmanuel Rodriguez (22904397),Emmanuel Rodriguez,22904397,OF,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
OF,Austin Martin (22904443),Austin Martin,22904443,OF,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
OF,Matt Wallner (22904481),Matt Wallner,22904481,OF,2000,MIN@DET 06/01/2022 07:10PM ET,MIN,0
OF,Roberto Campos (22904527),Roberto Campos,22904527,OF,2000,MIN@DET 06/01/2022 07:10PM ET,DET,0
OF,Jacob Robson (22904564),Jacob Robson,22904564,OF,2000,MIN@DET 06/01/2022 07:10PM ET,DET,0
OF,Jake Marisnick (22904234),Jake Marisnick,22904234,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,2.23
OF,Hunter Owen (22904293),Hunter Owen,22904293,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
OF,Andy Pages (22904300),Andy Pages,22904300,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
OF,Travis Swaggerty (22904313),Travis Swaggerty,22904313,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
OF,James Outman (22904392),James Outman,22904392,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
OF,Lonnie White (22904398),Lonnie White,22904398,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
OF,Stefen Romero (22904419),Stefen Romero,22904419,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
OF,Canaan Smith-Njigba (22904421),Canaan Smith-Njigba,22904421,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
OF,Lolo Sanchez (22904424),Lolo Sanchez,22904424,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
OF,Jose Ramos (22904471),Jose Ramos,22904471,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
OF,Jeren Kendall (22904495),Jeren Kendall,22904495,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,LAD,0
OF,Jared Oliva (22904574),Jared Oliva,22904574,OF,2000,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
OF/SS,Dylan Moore (22904049),Dylan Moore,22904049,SS/OF,3300,SEA@BAL 06/01/2022 07:05PM ET,SEA,4.18
OF/SS,Jose Barrero (22904174),Jose Barrero,22904174,SS/OF,2200,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
OF/SS,Oneil Cruz (22904171),Oneil Cruz,22904171,SS/OF,2200,PIT@LAD 06/01/2022 08:10PM ET,PIT,0
SP,Jose Quintana (22903894),Jose Quintana,22903894,P,8500,PIT@LAD 06/01/2022 08:10PM ET,PIT,14.28
SP,Bailey Ober (22903895),Bailey Ober,22903895,P,8200,MIN@DET 06/01/2022 07:10PM ET,MIN,12.64
