Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Al-Farouq Aminu (22889733),Al-Farouq Aminu,22889733,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
SF,Justin Jackson (22889734),Justin Jackson,22889734,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,3.96
SF,Axel Toupane (22889735),Axel Toupane,22889735,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
C,Juan Toscano-Anderson (22889736),Juan Toscano-Anderson,22889736,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,10.25
C,Nemanja Bjelica (22889756),Nemanja Bjelica,22889756,UTIL,1400,BOS@GSW 06/02/2022 09:00PM ET,GSW,15.48
PG,Chris Chiozza (22889757),Chris Chiozza,22889757,UTIL,1200,BOS@GSW 06/02/2022 09:00PM ET,GSW,6.71
PG,Brodric Thomas (22889758),Brodric Thomas,22889758,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,4.33
SG/SF,LJ Figueroa (22889759),LJ Figueroa,22889759,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
C,James Wiseman (22889760),James Wiseman,22889760,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
SF,C.J. Miles (22889761),C.J. Miles,22889761,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
SG,Juhann Begarin (22889762),Juhann Begarin,22889762,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
PF,Alen Smailagic (22889763),Alen Smailagic,22889763,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
PG,Damion Lee (22889764),Damion Lee,22889764,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,13.25
SG/SF,Aaron Nesmith (22889765),Aaron Nesmith,22889765,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,6.78
SG/SF,Andre Iguodala (22889766),Andre Iguodala,22889766,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,15.83
PF,Juwan Morgan (22889767),Juwan Morgan,22889767,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,2.21
SF/PF,Sam Hauser (22889768),Sam Hauser,22889768,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,4.79
PF,Jabari Parker (22889769),Jabari Parker,22889769,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,8.92
SF,Kelan Martin (22889770),Kelan Martin,22889770,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,10.64
SF,Matt Ryan (22889771),Matt Ryan,22889771,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,5.5
PG,Quinndary Weatherspoon (22889772),Quinndary Weatherspoon,22889772,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,5.27
SF,Joe Johnson (22889773),Joe Johnson,22889773,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,2
PG,Nico Mannion (22889774),Nico Mannion,22889774,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
SG,Nik Stauskas (22889775),Nik Stauskas,22889775,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,2.69
C,Luke Kornet (22889776),Luke Kornet,22889776,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,4.64
SF,Malik Fitts (22889777),Malik Fitts,22889777,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,2.82
PF,Al-Farouq Aminu (22889778),Al-Farouq Aminu,22889778,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
SF,Justin Jackson (22889779),Justin Jackson,22889779,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,3.96
SF,Axel Toupane (22889780),Axel Toupane,22889780,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
C,Juan Toscano-Anderson (22889781),Juan Toscano-Anderson,22889781,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,10.25
